t_binance_ms,t_received_ns,t_sent_ns
1777485036705,1777485036639653395,1777485036639755473
1777485036705,1777485036640344986,1777485036640540886
1777485036705,1777485036641135634,1777485036641334051
1777485036705,1777485036641948731,1777485036642236038
1777485036705,1777485036642948971,1777485036643108630
1777485036705,1777485036643444158,1777485036644283630
1777485036705,1777485036645126927,1777485036645286688
1777485036705,1777485036645744628,1777485036645897140
1777485036705,1777485036646516451,1777485036646666547
1777485036705,1777485036647061670,1777485036647866714
1777485036705,1777485036648404181,1777485036648524983
1777485036705,1777485036648985137,1777485036649107651
1777485036705,1777485036650171009,1777485036650342447
1777485036706,1777485036651500333,1777485036651879147
1777485036713,1777485036652895997,1777485036653088575
1777485036713,1777485036654039990,1777485036654138947
1777485036730,1777485036655251432,1777485036655427098
1777485036730,1777485036656083555,1777485036656177982
1777485036730,1777485036656538173,1777485036657384390
1777485036730,1777485036657960816,1777485036658099939
1777485036730,1777485036658622206,1777485036658794852
1777485036730,1777485036659654257,1777485036659846533
1777485036730,1777485036660750231,1777485036660943917
1777485036730,1777485036661600978,1777485036661775134
1777485036730,1777485036662618533,1777485036663525050
1777485036730,1777485036664167917,1777485036664340865
1777485036732,1777485036664993799,1777485036665201075
1777485036732,1777485036666029776,1777485036666153497
1777485036732,1777485036666769687,1777485036666948273
1777485036732,1777485036667871199,1777485036668024718
1777485036732,1777485036669358068,1777485036669547022
1777485036861,1777485036722889800,1777485036723074123
1777485036861,1777485036723613101,1777485036723775076
1777485036861,1777485036724336804,1777485036724438177
1777485036861,1777485036725036851,1777485036725200034
1777485036861,1777485036726003971,1777485036726136651
1777485036861,1777485036726623584,1777485036727535436
1777485036861,1777485036728164814,1777485036729013246
1777485036861,1777485036729257668,1777485036729420146
1777485036861,1777485036729940098,1777485036731051173
1777485036861,1777485036731481328,1777485036731833164
1777485036861,1777485036732509251,1777485036732604785
1777485036861,1777485036733232150,1777485036733354160
1777485036861,1777485036734032764,1777485036734166854
1777485036861,1777485036734543856,1777485036734645229
1777485036861,1777485036735509768,1777485036735669226
1777485036861,1777485036736546953,1777485036736651144
1777485036861,1777485036737163243,1777485036737293911
1777485036861,1777485036737812855,1777485036737900437
1777485038336,1777485038202322806,1777485038202478947
1777485038336,1777485038202902901,1777485038203024789
1777485038787,1777485038653711257,1777485038653865295
1777485038787,1777485038654217638,1777485038654319996
1777485038787,1777485038654708596,1777485038654770091
1777485038787,1777485038655275170,1777485038655367913
